"Month","Day","Hour","Output power (W)"
"1","7","0","0"
"1","7","1","0"
"1","7","2","0"
"1","7","3","0"
"1","7","4","0"
"1","7","5","0"
"1","7","6","0"
"1","7","7","0"
"1","7","8","11.303"
"1","7","9","80.645"
"1","7","10","172.002"
"1","7","11","240.679"
"1","7","12","267.514"
"1","7","13","245.113"
"1","7","14","179.497"
"1","7","15","90.003"
"1","7","16","20.194"
"1","7","17","0"
"1","7","18","0"
"1","7","19","0"
"1","7","20","0"
"1","7","21","0"
"1","7","22","0"
"1","7","23","0"
"1","8","0","0"
"1","8","1","0"
"1","8","2","0"
"1","8","3","0"
"1","8","4","0"
"1","8","5","0"
"1","8","6","0"
"1","8","7","0"
"1","8","8","12.608"
"1","8","9","84.885"
"1","8","10","181.383"
"1","8","11","264.785"
"1","8","12","301.115"
"1","8","13","274.764"
"1","8","14","198.768"
"1","8","15","98.713"
"1","8","16","21.642"
"1","8","17","0"
"1","8","18","0"
"1","8","19","0"
"1","8","20","0"
"1","8","21","0"
"1","8","22","0"
"1","8","23","0"
"1","9","0","0"
"1","9","1","0"
"1","9","2","0"
"1","9","3","0"
"1","9","4","0"
"1","9","5","0"
"1","9","6","0"
"1","9","7","0"
"1","9","8","11.231"
"1","9","9","84.186"
"1","9","10","167.379"
"1","9","11","245.067"
"1","9","12","271.876"
"1","9","13","250.072"
"1","9","14","186.52"
"1","9","15","95.497"
"1","9","16","20.972"
"1","9","17","0"
"1","9","18","0"
"1","9","19","0"
"1","9","20","0"
"1","9","21","0"
"1","9","22","0"
"1","9","23","0"
"1","10","0","0"
"1","10","1","0"
"1","10","2","0"
"1","10","3","0"
"1","10","4","0"
"1","10","5","0"
"1","10","6","0"
"1","10","7","0"
"1","10","8","15.267"
"1","10","9","95.493"
"1","10","10","202.987"
"1","10","11","287.919"
"1","10","12","318.985"
"1","10","13","292.321"
"1","10","14","214.78"
"1","10","15","110.558"
"1","10","16","26.857"
"1","10","17","0"
"1","10","18","0"
"1","10","19","0"
"1","10","20","0"
"1","10","21","0"
"1","10","22","0"
"1","10","23","0"
"1","11","0","0"
"1","11","1","0"
"1","11","2","0"
"1","11","3","0"
"1","11","4","0"
"1","11","5","0"
"1","11","6","0"
"1","11","7","0"
"1","11","8","14.723"
"1","11","9","87.374"
"1","11","10","172.992"
"1","11","11","235.924"
"1","11","12","259.62"
"1","11","13","240.466"
"1","11","14","182.945"
"1","11","15","100.445"
"1","11","16","28.207"
"1","11","17","0"
"1","11","18","0"
"1","11","19","0"
"1","11","20","0"
"1","11","21","0"
"1","11","22","0"
"1","11","23","0"
"1","12","0","0"
"1","12","1","0"
"1","12","2","0"
"1","12","3","0"
"1","12","4","0"
"1","12","5","0"
"1","12","6","0"
"1","12","7","0"
"1","12","8","15.12"
"1","12","9","86.942"
"1","12","10","172.225"
"1","12","11","241.24"
"1","12","12","268.387"
"1","12","13","246.08"
"1","12","14","185.198"
"1","12","15","99.144"
"1","12","16","28.073"
"1","12","17","0"
"1","12","18","0"
"1","12","19","0"
"1","12","20","0"
"1","12","21","0"
"1","12","22","0"
"1","12","23","0"
"1","13","0","0"
"1","13","1","0"
"1","13","2","0"
"1","13","3","0"
"1","13","4","0"
"1","13","5","0"
"1","13","6","0"
"1","13","7","0"
"1","13","8","12.558"
"1","13","9","83.663"
"1","13","10","177.275"
"1","13","11","253.339"
"1","13","12","282.057"
"1","13","13","258.049"
"1","13","14","190.809"
"1","13","15","98.655"
"1","13","16","26.18"
"1","13","17","0"
"1","13","18","0"
"1","13","19","0"
"1","13","20","0"
"1","13","21","0"
"1","13","22","0"
"1","13","23","0"
"1","14","0","0"
"1","14","1","0"
"1","14","2","0"
"1","14","3","0"
"1","14","4","0"
"1","14","5","0"
"1","14","6","0"
"1","14","7","0"
"1","14","8","17.2"
"1","14","9","102.112"
"1","14","10","214.277"
"1","14","11","302.311"
"1","14","12","334.847"
"1","14","13","307.348"
"1","14","14","233.685"
"1","14","15","122.571"
"1","14","16","32.96"
"1","14","17","0"
"1","14","18","0"
"1","14","19","0"
"1","14","20","0"
"1","14","21","0"
"1","14","22","0"
"1","14","23","0"
"1","15","0","0"
"1","15","1","0"
"1","15","2","0"
"1","15","3","0"
"1","15","4","0"
"1","15","5","0"
"1","15","6","0"
"1","15","7","0"
"1","15","8","13.899"
"1","15","9","82.533"
"1","15","10","175.42"
"1","15","11","245.672"
"1","15","12","274.029"
"1","15","13","253.743"
"1","15","14","190.967"
"1","15","15","101.112"
"1","15","16","28.277"
"1","15","17","0"
"1","15","18","0"
"1","15","19","0"
"1","15","20","0"
"1","15","21","0"
"1","15","22","0"
"1","15","23","0"
"1","16","0","0"
"1","16","1","0"
"1","16","2","0"
"1","16","3","0"
"1","16","4","0"
"1","16","5","0"
"1","16","6","0"
"1","16","7","0"
"1","16","8","11.508"
"1","16","9","85.943"
"1","16","10","176.326"
"1","16","11","256.569"
"1","16","12","285.58"
"1","16","13","264.163"
"1","16","14","195.701"
"1","16","15","104.289"
"1","16","16","29.87"
"1","16","17","0"
"1","16","18","0"
"1","16","19","0"
"1","16","20","0"
"1","16","21","0"
"1","16","22","0"
"1","16","23","0"
"1","17","0","0"
"1","17","1","0"
"1","17","2","0"
"1","17","3","0"
"1","17","4","0"
"1","17","5","0"
"1","17","6","0"
"1","17","7","0"
"1","17","8","5.766"
"1","17","9","37.563"
"1","17","10","68.684"
"1","17","11","89.27"
"1","17","12","97.817"
"1","17","13","91.728"
"1","17","14","74.715"
"1","17","15","46.726"
"1","17","16","13.611"
"1","17","17","0"
"1","17","18","0"
"1","17","19","0"
"1","17","20","0"
"1","17","21","0"
"1","17","22","0"
"1","17","23","0"
"1","18","0","0"
"1","18","1","0"
"1","18","2","0"
"1","18","3","0"
"1","18","4","0"
"1","18","5","0"
"1","18","6","0"
"1","18","7","0"
"1","18","8","0.321"
"1","18","9","14.738"
"1","18","10","28.111"
"1","18","11","37.812"
"1","18","12","41.915"
"1","18","13","39.998"
"1","18","14","31.856"
"1","18","15","18.927"
"1","18","16","3.838"
"1","18","17","0"
"1","18","18","0"
"1","18","19","0"
"1","18","20","0"
"1","18","21","0"
"1","18","22","0"
"1","18","23","0"
"1","19","0","0"
"1","19","1","0"
"1","19","2","0"
"1","19","3","0"
"1","19","4","0"
"1","19","5","0"
"1","19","6","0"
"1","19","7","0"
"1","19","8","1.242"
"1","19","9","19.336"
"1","19","10","37.265"
"1","19","11","49.411"
"1","19","12","55.175"
"1","19","13","51.654"
"1","19","14","41.019"
"1","19","15","25.307"
"1","19","16","6.575"
"1","19","17","0"
"1","19","18","0"
"1","19","19","0"
"1","19","20","0"
"1","19","21","0"
"1","19","22","0"
"1","19","23","0"
"1","20","0","0"
"1","20","1","0"
"1","20","2","0"
"1","20","3","0"
"1","20","4","0"
"1","20","5","0"
"1","20","6","0"
"1","20","7","0"
"1","20","8","2.148"
"1","20","9","22.895"
"1","20","10","42.455"
"1","20","11","56.221"
"1","20","12","62.43"
"1","20","13","58.294"
"1","20","14","47.478"
"1","20","15","29.629"
"1","20","16","8.324"
"1","20","17","0"
"1","20","18","0"
"1","20","19","0"
"1","20","20","0"
"1","20","21","0"
"1","20","22","0"
"1","20","23","0"
"1","21","0","0"
"1","21","1","0"
"1","21","2","0"
"1","21","3","0"
"1","21","4","0"
"1","21","5","0"
"1","21","6","0"
"1","21","7","0"
"1","21","8","7.55"
"1","21","9","41.285"
"1","21","10","73.229"
"1","21","11","95.537"
"1","21","12","104.269"
"1","21","13","98.989"
"1","21","14","80.714"
"1","21","15","52.065"
"1","21","16","17.972"
"1","21","17","0"
"1","21","18","0"
"1","21","19","0"
"1","21","20","0"
"1","21","21","0"
"1","21","22","0"
"1","21","23","0"
"1","22","0","0"
"1","22","1","0"
"1","22","2","0"
"1","22","3","0"
"1","22","4","0"
"1","22","5","0"
"1","22","6","0"
"1","22","7","0"
"1","22","8","3.928"
"1","22","9","29.066"
"1","22","10","52"
"1","22","11","68.743"
"1","22","12","75.202"
"1","22","13","71.594"
"1","22","14","57.639"
"1","22","15","36.448"
"1","22","16","11.81"
"1","22","17","0"
"1","22","18","0"
"1","22","19","0"
"1","22","20","0"
"1","22","21","0"
"1","22","22","0"
"1","22","23","0"
"1","23","0","0"
"1","23","1","0"
"1","23","2","0"
"1","23","3","0"
"1","23","4","0"
"1","23","5","0"
"1","23","6","0"
"1","23","7","0"
"1","23","8","2.112"
"1","23","9","19.167"
"1","23","10","36.885"
"1","23","11","47.945"
"1","23","12","53.499"
"1","23","13","50.934"
"1","23","14","40.512"
"1","23","15","25.08"
"1","23","16","7.389"
"1","23","17","0"
"1","23","18","0"
"1","23","19","0"
"1","23","20","0"
"1","23","21","0"
"1","23","22","0"
"1","23","23","0"
"1","24","0","0"
"1","24","1","0"
"1","24","2","0"
"1","24","3","0"
"1","24","4","0"
"1","24","5","0"
"1","24","6","0"
"1","24","7","0"
"1","24","8","23.224"
"1","24","9","97.32"
"1","24","10","164.787"
"1","24","11","223.67"
"1","24","12","246.188"
"1","24","13","233.6"
"1","24","14","181.75"
"1","24","15","117.983"
"1","24","16","50.217"
"1","24","17","0"
"1","24","18","0"
"1","24","19","0"
"1","24","20","0"
"1","24","21","0"
"1","24","22","0"
"1","24","23","0"
"1","25","0","0"
"1","25","1","0"
"1","25","2","0"
"1","25","3","0"
"1","25","4","0"
"1","25","5","0"
"1","25","6","0"
"1","25","7","0"
"1","25","8","5.85"
"1","25","9","32.249"
"1","25","10","57.095"
"1","25","11","74.588"
"1","25","12","81.869"
"1","25","13","78.171"
"1","25","14","63.861"
"1","25","15","41.566"
"1","25","16","14.781"
"1","25","17","0"
"1","25","18","0"
"1","25","19","0"
"1","25","20","0"
"1","25","21","0"
"1","25","22","0"
"1","25","23","0"
"1","26","0","0"
"1","26","1","0"
"1","26","2","0"
"1","26","3","0"
"1","26","4","0"
"1","26","5","0"
"1","26","6","0"
"1","26","7","0"
"1","26","8","9.641"
"1","26","9","44.903"
"1","26","10","78.402"
"1","26","11","101.244"
"1","26","12","110.97"
"1","26","13","106.301"
"1","26","14","86.715"
"1","26","15","57.293"
"1","26","16","21.842"
"1","26","17","0"
"1","26","18","0"
"1","26","19","0"
"1","26","20","0"
"1","26","21","0"
"1","26","22","0"
"1","26","23","0"
"1","27","0","0"
"1","27","1","0"
"1","27","2","0"
"1","27","3","0"
"1","27","4","0"
"1","27","5","0"
"1","27","6","0"
"1","27","7","0"
"1","27","8","22.169"
"1","27","9","103.842"
"1","27","10","212.312"
"1","27","11","308.419"
"1","27","12","348.91"
"1","27","13","327.54"
"1","27","14","250.019"
"1","27","15","137.775"
"1","27","16","47.152"
"1","27","17","0"
"1","27","18","0"
"1","27","19","0"
"1","27","20","0"
"1","27","21","0"
"1","27","22","0"
"1","27","23","0"
"1","28","0","0"
"1","28","1","0"
"1","28","2","0"
"1","28","3","0"
"1","28","4","0"
"1","28","5","0"
"1","28","6","0"
"1","28","7","0"
"1","28","8","4.935"
"1","28","9","26.674"
"1","28","10","48.002"
"1","28","11","62.268"
"1","28","12","67.642"
"1","28","13","64.909"
"1","28","14","53.437"
"1","28","15","34.807"
"1","28","16","12.72"
"1","28","17","0"
"1","28","18","0"
"1","28","19","0"
"1","28","20","0"
"1","28","21","0"
"1","28","22","0"
"1","28","23","0"
"1","29","0","0"
"1","29","1","0"
"1","29","2","0"
"1","29","3","0"
"1","29","4","0"
"1","29","5","0"
"1","29","6","0"
"1","29","7","0"
"1","29","8","7.493"
"1","29","9","35.17"
"1","29","10","61.512"
"1","29","11","79.19"
"1","29","12","87.332"
"1","29","13","83.74"
"1","29","14","68.143"
"1","29","15","45.189"
"1","29","16","18.035"
"1","29","17","0"
"1","29","18","0"
"1","29","19","0"
"1","29","20","0"
"1","29","21","0"
"1","29","22","0"
"1","29","23","0"
"1","30","0","0"
"1","30","1","0"
"1","30","2","0"
"1","30","3","0"
"1","30","4","0"
"1","30","5","0"
"1","30","6","0"
"1","30","7","0"
"1","30","8","6.678"
"1","30","9","30.968"
"1","30","10","54.494"
"1","30","11","70.711"
"1","30","12","77.867"
"1","30","13","73.529"
"1","30","14","60.888"
"1","30","15","39.976"
"1","30","16","16.239"
"1","30","17","0"
"1","30","18","0"
"1","30","19","0"
"1","30","20","0"
"1","30","21","0"
"1","30","22","0"
"1","30","23","0"
"1","31","0","0"
"1","31","1","0"
"1","31","2","0"
"1","31","3","0"
"1","31","4","0"
"1","31","5","0"
"1","31","6","0"
"1","31","7","0"
"1","31","8","33.241"
"1","31","9","106.384"
"1","31","10","176.646"
"1","31","11","246.841"
"1","31","12","276.406"
"1","31","13","263.047"
"1","31","14","210.984"
"1","31","15","131.771"
"1","31","16","60.757"
"1","31","17","1.183"
"1","31","18","0"
"1","31","19","0"
"1","31","20","0"
"1","31","21","0"
"1","31","22","0"
"1","31","23","0"
"2","1","0","0"
"2","1","1","0"
"2","1","2","0"
"2","1","3","0"
"2","1","4","0"
"2","1","5","0"
"2","1","6","0"
"2","1","7","0"
"2","1","8","26.591"
"2","1","9","108.999"
"2","1","10","202.08"
"2","1","11","294.437"
"2","1","12","328.951"
"2","1","13","314.293"
"2","1","14","246.986"
"2","1","15","146.089"
"2","1","16","57.656"
"2","1","17","0.639"
"2","1","18","0"
"2","1","19","0"
"2","1","20","0"
"2","1","21","0"
"2","1","22","0"
"2","1","23","0"
"2","2","0","0"
"2","2","1","0"
"2","2","2","0"
"2","2","3","0"
"2","2","4","0"
"2","2","5","0"
"2","2","6","0"
"2","2","7","0"
"2","2","8","13.801"
"2","2","9","50.227"
"2","2","10","84.056"
"2","2","11","108.466"
"2","2","12","119.692"
"2","2","13","115.976"
"2","2","14","96.097"
"2","2","15","65.557"
"2","2","16","27.961"
"2","2","17","0"
"2","2","18","0"
"2","2","19","0"
"2","2","20","0"
"2","2","21","0"
"2","2","22","0"
"2","2","23","0"
"2","3","0","0"
"2","3","1","0"
"2","3","2","0"
"2","3","3","0"
"2","3","4","0"
"2","3","5","0"
"2","3","6","0"
"2","3","7","0"
"2","3","8","6.691"
"2","3","9","29.201"
"2","3","10","49.605"
"2","3","11","64.127"
"2","3","12","71.365"
"2","3","13","68.707"
"2","3","14","57.098"
"2","3","15","37.765"
"2","3","16","16.454"
"2","3","17","0"
"2","3","18","0"
"2","3","19","0"
"2","3","20","0"
"2","3","21","0"
"2","3","22","0"
"2","3","23","0"
"2","4","0","0"
"2","4","1","0"
"2","4","2","0"
"2","4","3","0"
"2","4","4","0"
"2","4","5","0"
"2","4","6","0"
"2","4","7","0"
"2","4","8","20.42"
"2","4","9","69.287"
"2","4","10","110.244"
"2","4","11","142.263"
"2","4","12","163.98"
"2","4","13","149.817"
"2","4","14","125.393"
"2","4","15","87.287"
"2","4","16","40.462"
"2","4","17","1.135"
"2","4","18","0"
"2","4","19","0"
"2","4","20","0"
"2","4","21","0"
"2","4","22","0"
"2","4","23","0"
"2","5","0","0"
"2","5","1","0"
"2","5","2","0"
"2","5","3","0"
"2","5","4","0"
"2","5","5","0"
"2","5","6","0"
"2","5","7","0"
"2","5","8","12.084"
"2","5","9","41.689"
"2","5","10","69.178"
"2","5","11","89.423"
"2","5","12","98.233"
"2","5","13","93.91"
"2","5","14","78.092"
"2","5","15","53.446"
"2","5","16","24.343"
"2","5","17","0"
"2","5","18","0"
"2","5","19","0"
"2","5","20","0"
"2","5","21","0"
"2","5","22","0"
"2","5","23","0"
"2","6","0","0"
"2","6","1","0"
"2","6","2","0"
"2","6","3","0"
"2","6","4","0"
"2","6","5","0"
"2","6","6","0"
"2","6","7","0"
"2","6","8","30.977"
"2","6","9","89.993"
"2","6","10","139.109"
"2","6","11","185.026"
"2","6","12","202.734"
"2","6","13","194.928"
"2","6","14","162.58"
"2","6","15","109.578"
"2","6","16","56.34"
"2","6","17","3.843"
"2","6","18","0"
"2","6","19","0"
"2","6","20","0"
"2","6","21","0"
"2","6","22","0"
"2","6","23","0"
"2","7","0","0"
"2","7","1","0"
"2","7","2","0"
"2","7","3","0"
"2","7","4","0"
"2","7","5","0"
"2","7","6","0"
"2","7","7","0"
"2","7","8","28.485"
"2","7","9","84.98"
"2","7","10","132.847"
"2","7","11","177.011"
"2","7","12","193.787"
"2","7","13","187.277"
"2","7","14","149.553"
"2","7","15","105.682"
"2","7","16","53.165"
"2","7","17","3.939"
"2","7","18","0"
"2","7","19","0"
"2","7","20","0"
"2","7","21","0"
"2","7","22","0"
"2","7","23","0"
"2","8","0","0"
"2","8","1","0"
"2","8","2","0"
"2","8","3","0"
"2","8","4","0"
"2","8","5","0"
"2","8","6","0"
"2","8","7","0"
"2","8","8","30.582"
"2","8","9","86.174"
"2","8","10","132.802"
"2","8","11","174.753"
"2","8","12","190.678"
"2","8","13","184.612"
"2","8","14","147.954"
"2","8","15","106.131"
"2","8","16","54.2"
"2","8","17","4.06"
"2","8","18","0"
"2","8","19","0"
"2","8","20","0"
"2","8","21","0"
"2","8","22","0"
"2","8","23","0"
"2","9","0","0"
"2","9","1","0"
"2","9","2","0"
"2","9","3","0"
"2","9","4","0"
"2","9","5","0"
"2","9","6","0"
"2","9","7","0"
"2","9","8","13.306"
"2","9","9","42.484"
"2","9","10","68.213"
"2","9","11","88.411"
"2","9","12","97.044"
"2","9","13","93.324"
"2","9","14","77.811"
"2","9","15","54.268"
"2","9","16","25.749"
"2","9","17","0.373"
"2","9","18","0"
"2","9","19","0"
"2","9","20","0"
"2","9","21","0"
"2","9","22","0"
"2","9","23","0"
"2","10","0","0"
"2","10","1","0"
"2","10","2","0"
"2","10","3","0"
"2","10","4","0"
"2","10","5","0"
"2","10","6","0"
"2","10","7","0"
"2","10","8","36.334"
"2","10","9","131.671"
"2","10","10","240.169"
"2","10","11","343.554"
"2","10","12","390.565"
"2","10","13","372.888"
"2","10","14","287.463"
"2","10","15","177.446"
"2","10","16","70.839"
"2","10","17","5.686"
"2","10","18","0"
"2","10","19","0"
"2","10","20","0"
"2","10","21","0"
"2","10","22","0"
"2","10","23","0"
"2","11","0","0"
"2","11","1","0"
"2","11","2","0"
"2","11","3","0"
"2","11","4","0"
"2","11","5","0"
"2","11","6","0"
"2","11","7","0"
"2","11","8","10.29"
"2","11","9","31.85"
"2","11","10","51.944"
"2","11","11","66.079"
"2","11","12","72.708"
"2","11","13","70.28"
"2","11","14","59.347"
"2","11","15","41.479"
"2","11","16","19.128"
"2","11","17","0"
"2","11","18","0"
"2","11","19","0"
"2","11","20","0"
"2","11","21","0"
"2","11","22","0"
"2","11","23","0"
"2","12","0","0"
"2","12","1","0"
"2","12","2","0"
"2","12","3","0"
"2","12","4","0"
"2","12","5","0"
"2","12","6","0"
"2","12","7","0"
"2","12","8","49.607"
"2","12","9","124.007"
"2","12","10","192.863"
"2","12","11","245.644"
"2","12","12","278.746"
"2","12","13","259.221"
"2","12","14","216.234"
"2","12","15","152.532"
"2","12","16","79.122"
"2","12","17","13.012"
"2","12","18","0"
"2","12","19","0"
"2","12","20","0"
"2","12","21","0"
"2","12","22","0"
"2","12","23","0"
"2","13","0","0"
"2","13","1","0"
"2","13","2","0"
"2","13","3","0"
"2","13","4","0"
"2","13","5","0"
"2","13","6","0"
"2","13","7","0"
"2","13","8","55.907"
"2","13","9","133.788"
"2","13","10","219.429"
"2","13","11","280.65"
"2","13","12","308.899"
"2","13","13","301.788"
"2","13","14","250.53"
"2","13","15","167.613"
"2","13","16","86.884"
"2","13","17","13.371"
"2","13","18","0"
"2","13","19","0"
"2","13","20","0"
"2","13","21","0"
"2","13","22","0"
"2","13","23","0"
"2","14","0","0"
"2","14","1","0"
"2","14","2","0"
"2","14","3","0"
"2","14","4","0"
"2","14","5","0"
"2","14","6","0"
"2","14","7","0"
"2","14","8","43.786"
"2","14","9","145.062"
"2","14","10","258.511"
"2","14","11","355.237"
"2","14","12","394.629"
"2","14","13","373.078"
"2","14","14","291.243"
"2","14","15","185.507"
"2","14","16","77.556"
"2","14","17","9.955"
"2","14","18","0"
"2","14","19","0"
"2","14","20","0"
"2","14","21","0"
"2","14","22","0"
"2","14","23","0"
"2","15","0","0"
"2","15","1","0"
"2","15","2","0"
"2","15","3","0"
"2","15","4","0"
"2","15","5","0"
"2","15","6","0"
"2","15","7","0"
"2","15","8","46.938"
"2","15","9","148.477"
"2","15","10","260.992"
"2","15","11","357.626"
"2","15","12","395.388"
"2","15","13","375.215"
"2","15","14","294.754"
"2","15","15","189.888"
"2","15","16","80.76"
"2","15","17","11.258"
"2","15","18","0"
"2","15","19","0"
"2","15","20","0"
"2","15","21","0"
"2","15","22","0"
"2","15","23","0"
"2","16","0","0"
"2","16","1","0"
"2","16","2","0"
"2","16","3","0"
"2","16","4","0"
"2","16","5","0"
"2","16","6","0"
"2","16","7","0"
"2","16","8","52.709"
"2","16","9","148.132"
"2","16","10","265.296"
"2","16","11","352.876"
"2","16","12","389.628"
"2","16","13","369.708"
"2","16","14","305.694"
"2","16","15","198.228"
"2","16","16","87.456"
"2","16","17","12.428"
"2","16","18","0"
"2","16","19","0"
"2","16","20","0"
"2","16","21","0"
"2","16","22","0"
"2","16","23","0"
"2","17","0","0"
"2","17","1","0"
"2","17","2","0"
"2","17","3","0"
"2","17","4","0"
"2","17","5","0"
"2","17","6","0"
"2","17","7","0"
"2","17","8","26.906"
"2","17","9","67.509"
"2","17","10","103.893"
"2","17","11","128.873"
"2","17","12","141.502"
"2","17","13","135.881"
"2","17","14","115.237"
"2","17","15","84.462"
"2","17","16","44.481"
"2","17","17","7.563"
"2","17","18","0"
"2","17","19","0"
"2","17","20","0"
"2","17","21","0"
"2","17","22","0"
"2","17","23","0"
"2","18","0","0"
"2","18","1","0"
"2","18","2","0"
"2","18","3","0"
"2","18","4","0"
"2","18","5","0"
"2","18","6","0"
"2","18","7","0"
"2","18","8","61.219"
"2","18","9","151.032"
"2","18","10","255.402"
"2","18","11","333.547"
"2","18","12","367.06"
"2","18","13","350.677"
"2","18","14","287.52"
"2","18","15","189.092"
"2","18","16","95.799"
"2","18","17","17.85"
"2","18","18","0"
"2","18","19","0"
"2","18","20","0"
"2","18","21","0"
"2","18","22","0"
"2","18","23","0"
"2","19","0","0"
"2","19","1","0"
"2","19","2","0"
"2","19","3","0"
"2","19","4","0"
"2","19","5","0"
"2","19","6","0"
"2","19","7","2.205"
"2","19","8","62.917"
"2","19","9","140.736"
"2","19","10","215.099"
"2","19","11","279.711"
"2","19","12","303.972"
"2","19","13","291.388"
"2","19","14","245.954"
"2","19","15","170.685"
"2","19","16","96.119"
"2","19","17","23.113"
"2","19","18","0"
"2","19","19","0"
"2","19","20","0"
"2","19","21","0"
"2","19","22","0"
"2","19","23","0"
"2","20","0","0"
"2","20","1","0"
"2","20","2","0"
"2","20","3","0"
"2","20","4","0"
"2","20","5","0"
"2","20","6","0"
"2","20","7","0.618"
"2","20","8","74.751"
"2","20","9","218.905"
"2","20","10","380.128"
"2","20","11","506.805"
"2","20","12","559.494"
"2","20","13","531.269"
"2","20","14","426.85"
"2","20","15","276.684"
"2","20","16","123.181"
"2","20","17","22.523"
"2","20","18","0"
"2","20","19","0"
"2","20","20","0"
"2","20","21","0"
"2","20","22","0"
"2","20","23","0"
"2","21","0","0"
"2","21","1","0"
"2","21","2","0"
"2","21","3","0"
"2","21","4","0"
"2","21","5","0"
"2","21","6","0"
"2","21","7","3.912"
"2","21","8","66.284"
"2","21","9","146.645"
"2","21","10","224.354"
"2","21","11","291.765"
"2","21","12","312.456"
"2","21","13","299.29"
"2","21","14","251.831"
"2","21","15","173.657"
"2","21","16","99.525"
"2","21","17","25.749"
"2","21","18","0"
"2","21","19","0"
"2","21","20","0"
"2","21","21","0"
"2","21","22","0"
"2","21","23","0"
"2","22","0","0"
"2","22","1","0"
"2","22","2","0"
"2","22","3","0"
"2","22","4","0"
"2","22","5","0"
"2","22","6","0"
"2","22","7","0"
"2","22","8","16.13"
"2","22","9","39.126"
"2","22","10","59.981"
"2","22","11","75.689"
"2","22","12","82.584"
"2","22","13","78.963"
"2","22","14","67.821"
"2","22","15","48.54"
"2","22","16","25.742"
"2","22","17","4.627"
"2","22","18","0"
"2","22","19","0"
"2","22","20","0"
"2","22","21","0"
"2","22","22","0"
"2","22","23","0"
"2","23","0","0"
"2","23","1","0"
"2","23","2","0"
"2","23","3","0"
"2","23","4","0"
"2","23","5","0"
"2","23","6","0"
"2","23","7","0.604"
"2","23","8","60.842"
"2","23","9","176.666"
"2","23","10","312.201"
"2","23","11","425.356"
"2","23","12","479.211"
"2","23","13","453.771"
"2","23","14","357.421"
"2","23","15","223.681"
"2","23","16","98.933"
"2","23","17","18.472"
"2","23","18","0"
"2","23","19","0"
"2","23","20","0"
"2","23","21","0"
